Tipo de deporte;Deporte;Nombre de la institución o espacio;Calle;Número;Barrio de Pilar;Actividad / Deporte arancelado;Género;Edades / Categorías
Deportes de Conjunto;Básquetbol;Club Unión de Del Viso;Chiclana;7600;Del Viso;SI;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;"Club Municipal Manuel Alberti ""Angel Di María""";Batalla de Arroyo Grande y Sarmiento;S/N;Manuel Alberti;NO;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Club Municipal Lagomarsino / Diego Armando Maradona;Brasil;5020;Luis Lagomarsino;NO;MIXTO;Todas las edades
Deportes de Conjunto;Básquetbol;Club Municipal Presidente Derqui;Henry Martín y España;S/N;Presidente Derqui;NO;MIXTO;Todas las edades
Deportes de Conjunto;Handbol;Escuela Municipal;Néstor Kirchner;1400;Pilar (cabecera);NO;MIXTO;Todas las edades
Deportes de Conjunto;Handbol;Club Municipal Del Viso;Polonia ;6889;Del Viso;NO;MIXTO;Todas las edades
Deportes de Conjunto;Handbol;Instituto Federico Dickens;Av. Ing. eduardo Madero;2076;Del Viso;SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Handbol;Parroquial Nuestra Señora Del Pilar;Belgrano;566;Pilar (cabecera);SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Handbol;Instituto Modelo de Pilar;Hipolito Yrigoyen;767;Pilar (cabecera);SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Handbol;Nuestra Señora de Lujan;Maria Cabezas ;1143;Pilar (cabecera);SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Voleibol;Club Argentinos de Del Viso;Ituzaingó ;8601;Del Viso;SI;MIXTO;Todas las edades
Deportes Individuales;Taekwondo;Club Atlético Pilar;Ituizango;759;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Taekwondo;Club Sportivo Pilar;Tomás Márquez ;1125;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes Individuales;Taekwondo;Club Atlético Peñarol Pilar;Hipólito Yrigoyen ;799;Pilar (cabecera);SI;MIXTO;Todas las edades
Deportes de Conjunto;Voleibol;Sinergia Voley Pilar;Acceso Norte, Ruta 25 ;;Pilar (cabecera);SI;FEMENINO;Todas las edades
Deportes de Conjunto;Voleibol;Club Atlético Pilar;Ituizango ;759;Pilar (cabecera);SI;FEMENINO;Todas las edades
Deportes de Conjunto;Voleibol;Club Sportivo Pilar;Tomás Márquez ;1125;Pilar (cabecera);SI;FEMENINO;Todas las edades
